Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
new_data,1,104,104,104,104,104,104,104,"0,000%","9,61538","2,24","2,56"
TOTAL,1,104,104,104,104,104,104,104,"0,000%","9,61538","2,24","2,56"
